Loan Maturity,Currency,Type of Loans,Sector,Year_Month,value,Year,Month
Over 1 year and up to and including 2 years,DKK,- Other loans,Households,2020M11,4733.4,2020,11
Over 1 year and up to and including 2 years,DKK,- Other loans,Non-profit institutions serving households,2020M11,19.9,2020,11
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,Non-financial corporations,2020M11,388.0,2020,11
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,Financial corporations,2020M11,109.1,2020,11
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,General government,2020M11,0.0,2020,11
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,Households,2020M11,0.0,2020,11
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,Non-profit institutions serving households,2020M11,0.0,2020,11
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,Non-financial corporations,2020M11,0.0,2020,11
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,Financial corporations,2020M11,0.0,2020,11
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,General government,2020M11,0.0,2020,11
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,Households,2020M11,0.0,2020,11
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,Non-profit institutions serving households,2020M11,0.0,2020,11
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,Non-financial corporations,2020M11,0.0,2020,11
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,Financial corporations,2020M11,0.0,2020,11
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,General government,2020M11,0.0,2020,11
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,Households,2020M11,0.0,2020,11
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,Non-profit institutions serving households,2020M11,0.0,2020,11
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Non-financial corporations,2020M11,4866.0,2020,11
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Financial corporations,2020M11,322.3,2020,11
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,General government,2020M11,0.0,2020,11
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Households,2020M11,287.1,2020,11
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Non-profit institutions serving households,2020M11,0.0,2020,11
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Non-financial corporations,2020M11,23288.6,2020,11
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Financial corporations,2020M11,2984.2,2020,11
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,General government,2020M11,1642.5,2020,11
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Households,2020M11,8418.6,2020,11
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Non-profit institutions serving households,2020M11,81.5,2020,11
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Non-financial corporations,2020M11,0.0,2020,11
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Financial corporations,2020M11,0.0,2020,11
Over 2 years and up to and including 5 years,DKK,- Credit card credit,General government,2020M11,0.0,2020,11
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Households,2020M11,1.5,2020,11
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Non-profit institutions serving households,2020M11,0.0,2020,11
Over 2 years and up to and including 5 years,DKK,- Repo loans,Non-financial corporations,2020M11,0.0,2020,11
Over 2 years and up to and including 5 years,DKK,- Repo loans,Financial corporations,2020M11,0.0,2020,11
Over 2 years and up to and including 5 years,DKK,- Repo loans,General government,2020M11,0.0,2020,11
Over 2 years and up to and including 5 years,DKK,- Repo loans,Households,2020M11,0.0,2020,11
Over 2 years and up to and including 5 years,DKK,- Repo loans,Non-profit institutions serving households,2020M11,0.0,2020,11
Over 2 years and up to and including 5 years,DKK,- Other loans,Non-financial corporations,2020M11,21854.1,2020,11
Over 2 years and up to and including 5 years,DKK,- Other loans,Financial corporations,2020M11,31929.2,2020,11
Over 2 years and up to and including 5 years,DKK,- Other loans,General government,2020M11,67.8,2020,11
Over 2 years and up to and including 5 years,DKK,- Other loans,Households,2020M11,20815.0,2020,11
Over 2 years and up to and including 5 years,DKK,- Other loans,Non-profit institutions serving households,2020M11,152.9,2020,11
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Non-financial corporations,2020M11,1402.4,2020,11
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Financial corporations,2020M11,148.1,2020,11
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,General government,2020M11,0.0,2020,11
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Households,2020M11,145.2,2020,11
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Non-profit institutions serving households,2020M11,0.0,2020,11
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Non-financial corporations,2020M11,0.0,2020,11
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Financial corporations,2020M11,0.0,2020,11
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,General government,2020M11,0.0,2020,11
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Households,2020M11,0.0,2020,11
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Non-profit institutions serving households,2020M11,0.0,2020,11
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Non-financial corporations,2020M11,0.0,2020,11
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Financial corporations,2020M11,0.0,2020,11
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,General government,2020M11,0.0,2020,11
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Households,2020M11,0.0,2020,11
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Non-profit institutions serving households,2020M11,0.0,2020,11
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,Non-financial corporations,2020M11,2484.1,2020,11
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,Financial corporations,2020M11,1558.3,2020,11
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,General government,2020M11,0.0,2020,11
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,Households,2020M11,775.1,2020,11
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,Non-profit institutions serving households,2020M11,0.0,2020,11
Over 5 years,DKK,- Revolving loans and overdrafts,Non-financial corporations,2020M11,13828.6,2020,11
Over 5 years,DKK,- Revolving loans and overdrafts,Financial corporations,2020M11,8276.6,2020,11
Over 5 years,DKK,- Revolving loans and overdrafts,General government,2020M11,0.0,2020,11
Over 5 years,DKK,- Revolving loans and overdrafts,Households,2020M11,48300.2,2020,11
Over 5 years,DKK,- Revolving loans and overdrafts,Non-profit institutions serving households,2020M11,270.5,2020,11
Over 5 years,DKK,- Credit card credit,Non-financial corporations,2020M11,139.6,2020,11
Over 5 years,DKK,- Credit card credit,Financial corporations,2020M11,8.8,2020,11
Over 5 years,DKK,- Credit card credit,General government,2020M11,0.5,2020,11
Over 5 years,DKK,- Credit card credit,Households,2020M11,1494.8,2020,11
Over 5 years,DKK,- Credit card credit,Non-profit institutions serving households,2020M11,6.5,2020,11
Over 5 years,DKK,- Repo loans,Non-financial corporations,2020M11,0.0,2020,11
Over 5 years,DKK,- Repo loans,Financial corporations,2020M11,0.0,2020,11
Over 5 years,DKK,- Repo loans,General government,2020M11,0.0,2020,11
Over 5 years,DKK,- Repo loans,Households,2020M11,0.0,2020,11
Over 5 years,DKK,- Repo loans,Non-profit institutions serving households,2020M11,0.0,2020,11
Over 5 years,DKK,- Other loans,Non-financial corporations,2020M11,59972.3,2020,11
Over 5 years,DKK,- Other loans,Financial corporations,2020M11,19394.2,2020,11
Over 5 years,DKK,- Other loans,General government,2020M11,338.0,2020,11
Over 5 years,DKK,- Other loans,Households,2020M11,300842.3,2020,11
Over 5 years,DKK,- Other loans,Non-profit institutions serving households,2020M11,1091.1,2020,11
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,Non-financial corporations,2020M11,1133.4,2020,11
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,Financial corporations,2020M11,430.6,2020,11
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,General government,2020M11,0.0,2020,11
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,Households,2020M11,799.8,2020,11
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,Non-profit institutions serving households,2020M11,0.0,2020,11
Over 5 years,Foreign currency in total,- Credit card credit,Non-financial corporations,2020M11,0.0,2020,11
Over 5 years,Foreign currency in total,- Credit card credit,Financial corporations,2020M11,0.0,2020,11
Over 5 years,Foreign currency in total,- Credit card credit,General government,2020M11,0.0,2020,11
Over 5 years,Foreign currency in total,- Credit card credit,Households,2020M11,0.0,2020,11
Over 5 years,Foreign currency in total,- Credit card credit,Non-profit institutions serving households,2020M11,0.0,2020,11
Over 5 years,Foreign currency in total,- Repo loans,Non-financial corporations,2020M11,0.0,2020,11
Over 5 years,Foreign currency in total,- Repo loans,Financial corporations,2020M11,0.0,2020,11
Over 5 years,Foreign currency in total,- Repo loans,General government,2020M11,0.0,2020,11
Over 5 years,Foreign currency in total,- Repo loans,Households,2020M11,0.0,2020,11
Over 5 years,Foreign currency in total,- Repo loans,Non-profit institutions serving households,2020M11,0.0,2020,11
Over 5 years,Foreign currency in total,- Other loans,Non-financial corporations,2020M11,7670.0,2020,11
Over 5 years,Foreign currency in total,- Other loans,Financial corporations,2020M11,1483.1,2020,11
Over 5 years,Foreign currency in total,- Other loans,General government,2020M11,0.0,2020,11
Over 5 years,Foreign currency in total,- Other loans,Households,2020M11,1877.1,2020,11
Over 5 years,Foreign currency in total,- Other loans,Non-profit institutions serving households,2020M11,0.0,2020,11
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Non-financial corporations,2020M12,93000.7,2020,12
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Financial corporations,2020M12,27226.7,2020,12
Up to and including 1 year,DKK,- Revolving loans and overdrafts,General government,2020M12,18513.5,2020,12
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Households,2020M12,27159.1,2020,12
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Non-profit institutions serving households,2020M12,1121.9,2020,12
Up to and including 1 year,DKK,- Credit card credit,Non-financial corporations,2020M12,504.0,2020,12
Up to and including 1 year,DKK,- Credit card credit,Financial corporations,2020M12,23.7,2020,12
Up to and including 1 year,DKK,- Credit card credit,General government,2020M12,36.6,2020,12
Up to and including 1 year,DKK,- Credit card credit,Households,2020M12,6018.4,2020,12
Up to and including 1 year,DKK,- Credit card credit,Non-profit institutions serving households,2020M12,51.6,2020,12
Up to and including 1 year,DKK,- Repo loans,Non-financial corporations,2020M12,976.3,2020,12
Up to and including 1 year,DKK,- Repo loans,Financial corporations,2020M12,189207.8,2020,12
Up to and including 1 year,DKK,- Repo loans,General government,2020M12,9352.3,2020,12
Up to and including 1 year,DKK,- Repo loans,Households,2020M12,0.0,2020,12
Up to and including 1 year,DKK,- Repo loans,Non-profit institutions serving households,2020M12,0.0,2020,12
Up to and including 1 year,DKK,- Other loans,Non-financial corporations,2020M12,58670.7,2020,12
Up to and including 1 year,DKK,- Other loans,Financial corporations,2020M12,43151.2,2020,12
Up to and including 1 year,DKK,- Other loans,General government,2020M12,0.0,2020,12
Up to and including 1 year,DKK,- Other loans,Households,2020M12,19982.8,2020,12
Up to and including 1 year,DKK,- Other loans,Non-profit institutions serving households,2020M12,141.4,2020,12
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,Non-financial corporations,2020M12,9994.9,2020,12
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,Financial corporations,2020M12,5275.0,2020,12
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,General government,2020M12,0.0,2020,12
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,Households,2020M12,456.1,2020,12
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,Non-profit institutions serving households,2020M12,0.0,2020,12
Up to and including 1 year,Foreign currency in total,- Credit card credit,Non-financial corporations,2020M12,0.0,2020,12
Up to and including 1 year,Foreign currency in total,- Credit card credit,Financial corporations,2020M12,0.0,2020,12
Up to and including 1 year,Foreign currency in total,- Credit card credit,General government,2020M12,0.0,2020,12
Up to and including 1 year,Foreign currency in total,- Credit card credit,Households,2020M12,0.0,2020,12
Up to and including 1 year,Foreign currency in total,- Credit card credit,Non-profit institutions serving households,2020M12,0.0,2020,12
Up to and including 1 year,Foreign currency in total,- Repo loans,Non-financial corporations,2020M12,0.0,2020,12
Up to and including 1 year,Foreign currency in total,- Repo loans,Financial corporations,2020M12,15387.6,2020,12
Up to and including 1 year,Foreign currency in total,- Repo loans,General government,2020M12,0.0,2020,12
Up to and including 1 year,Foreign currency in total,- Repo loans,Households,2020M12,0.0,2020,12
Up to and including 1 year,Foreign currency in total,- Repo loans,Non-profit institutions serving households,2020M12,0.0,2020,12
Up to and including 1 year,Foreign currency in total,- Other loans,Non-financial corporations,2020M12,30334.1,2020,12
Up to and including 1 year,Foreign currency in total,- Other loans,Financial corporations,2020M12,38055.9,2020,12
Up to and including 1 year,Foreign currency in total,- Other loans,General government,2020M12,0.0,2020,12
Up to and including 1 year,Foreign currency in total,- Other loans,Households,2020M12,928.2,2020,12
Up to and including 1 year,Foreign currency in total,- Other loans,Non-profit institutions serving households,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,DKK,- Revolving loans and overdrafts,Non-financial corporations,2020M12,11965.3,2020,12
Over 1 year and up to and including 2 years,DKK,- Revolving loans and overdrafts,Financial corporations,2020M12,1634.2,2020,12
Over 1 year and up to and including 2 years,DKK,- Revolving loans and overdrafts,General government,2020M12,291.2,2020,12
Over 1 year and up to and including 2 years,DKK,- Revolving loans and overdrafts,Households,2020M12,4824.8,2020,12
Over 1 year and up to and including 2 years,DKK,- Revolving loans and overdrafts,Non-profit institutions serving households,2020M12,277.0,2020,12
Over 1 year and up to and including 2 years,DKK,- Credit card credit,Non-financial corporations,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,DKK,- Credit card credit,Financial corporations,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,DKK,- Credit card credit,General government,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,DKK,- Credit card credit,Households,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,DKK,- Credit card credit,Non-profit institutions serving households,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,DKK,- Repo loans,Non-financial corporations,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,DKK,- Repo loans,Financial corporations,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,DKK,- Repo loans,General government,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,DKK,- Repo loans,Households,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,DKK,- Repo loans,Non-profit institutions serving households,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,DKK,- Other loans,Non-financial corporations,2020M12,5990.9,2020,12
Over 1 year and up to and including 2 years,DKK,- Other loans,Financial corporations,2020M12,3131.5,2020,12
Over 1 year and up to and including 2 years,DKK,- Other loans,General government,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,DKK,- Other loans,Households,2020M12,4475.0,2020,12
Over 1 year and up to and including 2 years,DKK,- Other loans,Non-profit institutions serving households,2020M12,20.0,2020,12
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,Non-financial corporations,2020M12,430.9,2020,12
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,Financial corporations,2020M12,91.1,2020,12
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,General government,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,Households,2020M12,8.4,2020,12
Over 1 year and up to and including 2 years,Foreign currency in total,- Revolving loans and overdrafts,Non-profit institutions serving households,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,Non-financial corporations,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,Financial corporations,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,General government,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,Households,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,Foreign currency in total,- Credit card credit,Non-profit institutions serving households,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,Non-financial corporations,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,Financial corporations,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,General government,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,Households,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,Foreign currency in total,- Repo loans,Non-profit institutions serving households,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Non-financial corporations,2020M12,4783.6,2020,12
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Financial corporations,2020M12,314.1,2020,12
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,General government,2020M12,0.0,2020,12
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Households,2020M12,279.7,2020,12
Over 1 year and up to and including 2 years,Foreign currency in total,- Other loans,Non-profit institutions serving households,2020M12,0.0,2020,12
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Non-financial corporations,2020M12,24011.7,2020,12
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Financial corporations,2020M12,3033.8,2020,12
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,General government,2020M12,1640.5,2020,12
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Households,2020M12,8550.1,2020,12
Over 2 years and up to and including 5 years,DKK,- Revolving loans and overdrafts,Non-profit institutions serving households,2020M12,160.4,2020,12
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Non-financial corporations,2020M12,0.0,2020,12
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Financial corporations,2020M12,0.0,2020,12
Over 2 years and up to and including 5 years,DKK,- Credit card credit,General government,2020M12,0.0,2020,12
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Households,2020M12,1.5,2020,12
Over 2 years and up to and including 5 years,DKK,- Credit card credit,Non-profit institutions serving households,2020M12,0.0,2020,12
Over 2 years and up to and including 5 years,DKK,- Repo loans,Non-financial corporations,2020M12,0.0,2020,12
Over 2 years and up to and including 5 years,DKK,- Repo loans,Financial corporations,2020M12,0.0,2020,12
Over 2 years and up to and including 5 years,DKK,- Repo loans,General government,2020M12,0.0,2020,12
Over 2 years and up to and including 5 years,DKK,- Repo loans,Households,2020M12,0.0,2020,12
Over 2 years and up to and including 5 years,DKK,- Repo loans,Non-profit institutions serving households,2020M12,0.0,2020,12
Over 2 years and up to and including 5 years,DKK,- Other loans,Non-financial corporations,2020M12,21579.7,2020,12
Over 2 years and up to and including 5 years,DKK,- Other loans,Financial corporations,2020M12,33193.3,2020,12
Over 2 years and up to and including 5 years,DKK,- Other loans,General government,2020M12,70.5,2020,12
Over 2 years and up to and including 5 years,DKK,- Other loans,Households,2020M12,20603.1,2020,12
Over 2 years and up to and including 5 years,DKK,- Other loans,Non-profit institutions serving households,2020M12,147.1,2020,12
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Non-financial corporations,2020M12,1385.6,2020,12
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Financial corporations,2020M12,148.0,2020,12
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,General government,2020M12,0.0,2020,12
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Households,2020M12,142.6,2020,12
Over 2 years and up to and including 5 years,Foreign currency in total,- Revolving loans and overdrafts,Non-profit institutions serving households,2020M12,0.0,2020,12
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Non-financial corporations,2020M12,0.0,2020,12
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Financial corporations,2020M12,0.0,2020,12
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,General government,2020M12,0.0,2020,12
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Households,2020M12,0.0,2020,12
Over 2 years and up to and including 5 years,Foreign currency in total,- Credit card credit,Non-profit institutions serving households,2020M12,0.0,2020,12
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Non-financial corporations,2020M12,0.0,2020,12
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Financial corporations,2020M12,0.0,2020,12
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,General government,2020M12,0.0,2020,12
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Households,2020M12,0.0,2020,12
Over 2 years and up to and including 5 years,Foreign currency in total,- Repo loans,Non-profit institutions serving households,2020M12,0.0,2020,12
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,Non-financial corporations,2020M12,2468.3,2020,12
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,Financial corporations,2020M12,1562.8,2020,12
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,General government,2020M12,0.0,2020,12
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,Households,2020M12,710.0,2020,12
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,Non-profit institutions serving households,2020M12,0.0,2020,12
Over 5 years,DKK,- Revolving loans and overdrafts,Non-financial corporations,2020M12,13667.4,2020,12
Over 5 years,DKK,- Revolving loans and overdrafts,Financial corporations,2020M12,7931.6,2020,12
Over 5 years,DKK,- Revolving loans and overdrafts,General government,2020M12,2288.6,2020,12
Over 5 years,DKK,- Revolving loans and overdrafts,Households,2020M12,48734.0,2020,12
Over 5 years,DKK,- Revolving loans and overdrafts,Non-profit institutions serving households,2020M12,411.7,2020,12
Over 5 years,DKK,- Credit card credit,Non-financial corporations,2020M12,143.5,2020,12
Over 5 years,DKK,- Credit card credit,Financial corporations,2020M12,5.9,2020,12
Over 5 years,DKK,- Credit card credit,General government,2020M12,0.6,2020,12
Over 5 years,DKK,- Credit card credit,Households,2020M12,1598.2,2020,12
Over 5 years,DKK,- Credit card credit,Non-profit institutions serving households,2020M12,6.4,2020,12
Over 5 years,DKK,- Repo loans,Non-financial corporations,2020M12,0.0,2020,12
Over 5 years,DKK,- Repo loans,Financial corporations,2020M12,0.0,2020,12
Over 5 years,DKK,- Repo loans,General government,2020M12,0.0,2020,12
Over 5 years,DKK,- Repo loans,Households,2020M12,0.0,2020,12
Over 5 years,DKK,- Repo loans,Non-profit institutions serving households,2020M12,0.0,2020,12
Over 5 years,DKK,- Other loans,Non-financial corporations,2020M12,61020.1,2020,12
Over 5 years,DKK,- Other loans,Financial corporations,2020M12,19755.4,2020,12
Over 5 years,DKK,- Other loans,General government,2020M12,308.5,2020,12
Over 5 years,DKK,- Other loans,Households,2020M12,300811.4,2020,12
Over 5 years,DKK,- Other loans,Non-profit institutions serving households,2020M12,1065.2,2020,12
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,Non-financial corporations,2020M12,1124.3,2020,12
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,Financial corporations,2020M12,405.5,2020,12
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,General government,2020M12,0.0,2020,12
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,Households,2020M12,816.8,2020,12
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,Non-profit institutions serving households,2020M12,0.0,2020,12
Over 5 years,Foreign currency in total,- Credit card credit,Non-financial corporations,2020M12,0.0,2020,12
Over 5 years,Foreign currency in total,- Credit card credit,Financial corporations,2020M12,0.0,2020,12
Over 5 years,Foreign currency in total,- Credit card credit,General government,2020M12,0.0,2020,12
Over 5 years,Foreign currency in total,- Credit card credit,Households,2020M12,0.0,2020,12
Over 5 years,Foreign currency in total,- Credit card credit,Non-profit institutions serving households,2020M12,0.0,2020,12
Over 5 years,Foreign currency in total,- Repo loans,Non-financial corporations,2020M12,0.0,2020,12
Over 5 years,Foreign currency in total,- Repo loans,Financial corporations,2020M12,0.0,2020,12
Over 5 years,Foreign currency in total,- Repo loans,General government,2020M12,0.0,2020,12
Over 5 years,Foreign currency in total,- Repo loans,Households,2020M12,0.0,2020,12
Over 5 years,Foreign currency in total,- Repo loans,Non-profit institutions serving households,2020M12,0.0,2020,12
Over 5 years,Foreign currency in total,- Other loans,Non-financial corporations,2020M12,7415.0,2020,12
Over 5 years,Foreign currency in total,- Other loans,Financial corporations,2020M12,1374.8,2020,12
Over 5 years,Foreign currency in total,- Other loans,General government,2020M12,0.0,2020,12
Over 5 years,Foreign currency in total,- Other loans,Households,2020M12,1822.7,2020,12
Over 5 years,Foreign currency in total,- Other loans,Non-profit institutions serving households,2020M12,0.0,2020,12
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Non-financial corporations,2021M01,93317.8,2021,1
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Financial corporations,2021M01,31553.6,2021,1
Up to and including 1 year,DKK,- Revolving loans and overdrafts,General government,2021M01,17136.2,2021,1
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Households,2021M01,26210.9,2021,1
Up to and including 1 year,DKK,- Revolving loans and overdrafts,Non-profit institutions serving households,2021M01,1055.7,2021,1
Up to and including 1 year,DKK,- Credit card credit,Non-financial corporations,2021M01,504.7,2021,1
Up to and including 1 year,DKK,- Credit card credit,Financial corporations,2021M01,23.1,2021,1
Up to and including 1 year,DKK,- Credit card credit,General government,2021M01,37.3,2021,1
Up to and including 1 year,DKK,- Credit card credit,Households,2021M01,5690.4,2021,1
Up to and including 1 year,DKK,- Credit card credit,Non-profit institutions serving households,2021M01,0.0,2021,1
Up to and including 1 year,DKK,- Repo loans,Non-financial corporations,2021M01,2024.3,2021,1
Up to and including 1 year,DKK,- Repo loans,Financial corporations,2021M01,187590.8,2021,1
Up to and including 1 year,DKK,- Repo loans,General government,2021M01,8857.3,2021,1
Up to and including 1 year,DKK,- Repo loans,Households,2021M01,0.0,2021,1
Up to and including 1 year,DKK,- Repo loans,Non-profit institutions serving households,2021M01,0.0,2021,1
Up to and including 1 year,DKK,- Other loans,Non-financial corporations,2021M01,50205.9,2021,1
Up to and including 1 year,DKK,- Other loans,Financial corporations,2021M01,49534.6,2021,1
Up to and including 1 year,DKK,- Other loans,General government,2021M01,0.0,2021,1
Up to and including 1 year,DKK,- Other loans,Households,2021M01,20952.1,2021,1
Up to and including 1 year,DKK,- Other loans,Non-profit institutions serving households,2021M01,157.3,2021,1
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,Non-financial corporations,2021M01,10039.1,2021,1
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,Financial corporations,2021M01,5435.4,2021,1
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,General government,2021M01,0.0,2021,1
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,Households,2021M01,451.1,2021,1
Up to and including 1 year,Foreign currency in total,- Revolving loans and overdrafts,Non-profit institutions serving households,2021M01,0.0,2021,1
