Loan Maturity,Currency,Type of Loans,Sector,Year_Month,value,Year,Month
Over 2 years and up to and including 5 years,Foreign currency in total,- Other loans,Non-profit institutions serving households,2019M01,0.0,2019,1
Over 5 years,DKK,- Revolving loans and overdrafts,Non-financial corporations,2019M01,16581.2,2019,1
Over 5 years,DKK,- Revolving loans and overdrafts,Financial corporations,2019M01,7757.3,2019,1
Over 5 years,DKK,- Revolving loans and overdrafts,General government,2019M01,0.0,2019,1
Over 5 years,DKK,- Revolving loans and overdrafts,Households,2019M01,57471.0,2019,1
Over 5 years,DKK,- Revolving loans and overdrafts,Non-profit institutions serving households,2019M01,521.1,2019,1
Over 5 years,DKK,- Credit card credit,Non-financial corporations,2019M01,151.1,2019,1
Over 5 years,DKK,- Credit card credit,Financial corporations,2019M01,6.5,2019,1
Over 5 years,DKK,- Credit card credit,General government,2019M01,0.8,2019,1
Over 5 years,DKK,- Credit card credit,Households,2019M01,1766.8,2019,1
Over 5 years,DKK,- Credit card credit,Non-profit institutions serving households,2019M01,5.9,2019,1
Over 5 years,DKK,- Repo loans,Non-financial corporations,2019M01,0.0,2019,1
Over 5 years,DKK,- Repo loans,Financial corporations,2019M01,0.0,2019,1
Over 5 years,DKK,- Repo loans,General government,2019M01,0.0,2019,1
Over 5 years,DKK,- Repo loans,Households,2019M01,0.0,2019,1
Over 5 years,DKK,- Repo loans,Non-profit institutions serving households,2019M01,0.0,2019,1
Over 5 years,DKK,- Other loans,Non-financial corporations,2019M01,56246.2,2019,1
Over 5 years,DKK,- Other loans,Financial corporations,2019M01,15323.8,2019,1
Over 5 years,DKK,- Other loans,General government,2019M01,313.3,2019,1
Over 5 years,DKK,- Other loans,Households,2019M01,313865.5,2019,1
Over 5 years,DKK,- Other loans,Non-profit institutions serving households,2019M01,1127.7,2019,1
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,Non-financial corporations,2019M01,1907.3,2019,1
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,Financial corporations,2019M01,726.8,2019,1
Over 5 years,Foreign currency in total,- Revolving loans and overdrafts,General government,2019M01,0.0,2019,1
